Entry Number,Category,Subcategory,Style,Score,Place,Year
69,1,1,Berliner Weisse,16,,2016
100,1,1,Berliner Weisse,37.8,1,2017
101,1,1,Berliner Weisse,26.8,,2017
573,1,1,Berliner Weisse,28.2,,2017
258,1,1,Berliner Weisse,36.5,,2018
5,1,1,Berliner Weisse,34.5,,2018
290,1,1,Berliner Weisse,32.5,,2018
348,1,1,Berliner Weisse,26.5,,2018
147,1,1,Berliner Weisse,26,,2018
59,1,1,Berliner Weisse,24,,2018
355,1,1,Berliner Weisse,23.5,,2018
307,1,1,Berliner Weisse [BJCP 23A],40.5,1,2019
166,1,1,Berliner Weisse [BJCP 23A],31,,2020
180,1,1,Berliner Weisse [BJCP 23A],40.5,3,2020
124,1,1,Berliner Weisse [BJCP 23A],37,1,2021
135,1,1,Berliner Weisse [BJCP 23A],31,,2021
193,1,1,Berliner Weisse [BJCP 23A],20.5,,2021
303,1,1,Berliner Weisse [BJCP 23A],23,,2021
323,1,1,Berliner Weisse [BJCP 23A],26,,2021
78,1,1,Berliner Weisse [BJCP 23A],42.5,2,2022
141,1,1,Berliner Weisse [BJCP 23A],37.5,,2022
356,1,1,Berliner Weisse [BJCP 23A],31,,2022
47,2,1,American Lager [BJCP 1B],32,,2022
134,2,1,American Lager [BJCP 1B],34.5,,2022
183,2,1,American Lager [BJCP 1B],39.5,1,2022
412,2,1,American Lager [BJCP 1B],33.5,,2022
177,2,1,Australian Lager,33,,2016
70,2,1,Australian Lager,25.2,,2017
197,2,1,Australian Lager,34.7,,2017
257,2,1,Australian Lager,39.7,,2017
417,2,1,Australian Lager,29.3,,2017
274,2,1,Australian Lager,39,1,2018
389,2,1,Australian Lager,17.33,,2018
2,2,1,Australian Lager [AABC],37.5,,2021
60,2,1,Australian Lager [AABC],36.5,,2021
100,2,1,Australian Lager [AABC],34.5,,2021
254,2,1,Australian Lager [AABC] ,37,3,2019
336,2,1,Australian Lager [AABC] ,20,,2019
175,2,1,Australian Lager [AABC] ,0,,2019
265,2,1,Australian Lager [AABC] ,0,,2019
14,2,1,Australian Lager [AABC] ,38.33,1,2020
158,2,1,Classic American Pils,39,,2016
179,2,1,Light Australian Lager,35.66666667,,2016
69,2,1,Light Australian Lager,27.66,,2017
98,2,1,Light Australian Lager,30,3,2017
57,2,1,Light Australian Lager,21.5,,2018
7,2,1,Light Australian Lager [AABC],38,2,2019
335,2,1,Light Australian Lager [AABC],26,,2019
6,2,1,Light Australian Lager [AABC],22.5,,2020
13,2,1,Light Australian Lager [AABC],30.5,,2020
207,2,1,Light Australian Lager [AABC],28.5,,2020
1,2,1,Light Australian Lager [AABC],43.5,1,2021
103,2,1,Light Australian Lager [AABC],31,,2021
74,3,1,International Amber Lager [BJCP 2B],29.5,,2021
163,3,1,International Amber Lager [BJCP 2B],33,,2021
83,3,1,International Amber Lager [BJCP 2B],25.5,,2022
173,3,1,International Amber Lager [BJCP 2B],35.5,,2022
235,3,1,International Amber Lager [BJCP 2B] ,36,,2019
88,3,1,International Amber Lager [BJCP 2B] ,32,,2020
122,3,1,International Amber Lager [BJCP 2B] ,34.5,,2020
281,4,1,Cream Ale,26.5,,2016
514,4,1,Cream Ale,35.5,3,2017
284,4,1,Cream Ale,32,,2018
153,4,1,Cream Ale [BJCP 1C],29.6,,2019
37,4,1,Cream Ale [BJCP 1C],38.33,2,2020
50,4,1,Cream Ale [BJCP 1C],32,,2022
200,4,1,Cream Ale [BJCP 1C],38.5,3,2022
350,4,1,Cream Ale [BJCP 1C],25.5,,2022
425,5,1,American Pale Ale,31,,2016
47,5,1,American Pale Ale,31,,2016
406,5,1,American Pale Ale,30.5,,2016
64,5,1,American Pale Ale,30.5,,2016
269,5,1,American Pale Ale,28.5,,2016
104,5,1,American Pale Ale,30.5,,2016
413,5,1,American Pale Ale,36.75,,2016
258,5,1,American Pale Ale,29,,2016
134,5,1,American Pale Ale,29,,2016
126,5,1,American Pale Ale,25.5,,2016
76,5,1,American Pale Ale,28.5,,2016
318,5,1,American Pale Ale,29,,2016
322,5,1,American Pale Ale,30.5,,2016
10,5,1,American Pale Ale,24.5,,2016
273,5,1,American Pale Ale,26.5,,2016
278,5,1,American Pale Ale,37.5,,2016
393,5,1,American Pale Ale,27,,2016
5,5,1,American Pale Ale,32.5,,2016
97,5,1,American Pale Ale,30.5,,2016
256,5,1,American Pale Ale,33.5,,2016
167,5,1,American Pale Ale,36.5,,2016
356,5,1,American Pale Ale,35.5,,2016
464,5,1,American Pale Ale,19.25,,2016
454,5,1,American Pale Ale,20,,2016
409,5,1,American Pale Ale,20,,2016
352,5,1,American Pale Ale,25.5,,2016
381,5,1,American Pale Ale,21,,2016
146,5,1,American Pale Ale,29.5,,2016
338,5,1,American Pale Ale,19.5,,2016
64,5,1,American Pale Ale,20,,2017
76,5,1,American Pale Ale,30.66,,2017
94,5,1,American Pale Ale,21.5,,2017
169,5,1,American Pale Ale,25,,2017
183,5,1,American Pale Ale,26,,2017
214,5,1,American Pale Ale,21.66,,2017
256,5,1,American Pale Ale,27,,2017
273,5,1,American Pale Ale,20.33,,2017
284,5,1,American Pale Ale,17.5,,2017
294,5,1,American Pale Ale,26.33,,2017
306,5,1,American Pale Ale,24.33,,2017
311,5,1,American Pale Ale,22.33,,2017
320,5,1,American Pale Ale,22.33,,2017
327,5,1,American Pale Ale,25.5,,2017
350,5,1,American Pale Ale,35,,2017
366,5,1,American Pale Ale,24,,2017
386,5,1,American Pale Ale,32,,2017
388,5,1,American Pale Ale,22.5,,2017
401,5,1,American Pale Ale,38,2,2017
425,5,1,American Pale Ale,39,1,2017
427,5,1,American Pale Ale,32,,2017
440,5,1,American Pale Ale,31,,2017
482,5,1,American Pale Ale,28.5,,2017
494,5,1,American Pale Ale,36,,2017
503,5,1,American Pale Ale,30,,2017
511,5,1,American Pale Ale,36,3,2017
517,5,1,American Pale Ale,27.5,,2017
523,5,1,American Pale Ale,26,,2017
538,5,1,American Pale Ale,33,,2017
539,5,1,American Pale Ale,27,,2017
541,5,1,American Pale Ale,22.5,,2017
544,5,1,American Pale Ale,26,,2017
570,5,1,American Pale Ale,24.5,,2017
246,5,1,American Pale Ale,38.66,1,2018
244,5,1,American Pale Ale,35.33,2,2018
263,5,1,American Pale Ale,33.33,3,2018
207,5,1,American Pale Ale,32.33,,2018
310,5,1,American Pale Ale,31.66,,2018
259,5,1,American Pale Ale,31.33,,2018
165,5,1,American Pale Ale,31.17,,2018
32,5,1,American Pale Ale,30.33,,2018
145,5,1,American Pale Ale,30.33,,2018
395,5,1,American Pale Ale,29.33,,2018
221,5,1,American Pale Ale,28.66,,2018
382,5,1,American Pale Ale,28,,2018
312,5,1,American Pale Ale,27.33,,2018
144,5,1,American Pale Ale,26.66,,2018
199,5,1,American Pale Ale,26.5,,2018
192,5,1,American Pale Ale,26.33,,2018
334,5,1,American Pale Ale,26.33,,2018
410,5,1,American Pale Ale,24.66,,2018
301,5,1,American Pale Ale,24.66,,2018
311,5,1,American Pale Ale,24.66,,2018
376,5,1,American Pale Ale,24.33,,2018
181,5,1,American Pale Ale,23,,2018
327,5,1,American Pale Ale,22,,2018
219,5,1,American Pale Ale,21.33,,2018
42,5,1,American Pale Ale,20.66,,2018
54,5,1,American Pale Ale,20.66,,2018
292,5,1,American Pale Ale,20.33,,2018
279,5,1,American Pale Ale,20.33,,2018
172,5,1,American Pale Ale,20,,2018
464,5,1,American Pale Ale,19.5,,2018
156,5,1,American Pale Ale,17,,2018
305,5,1,American Pale Ale,16,,2018
321,5,1,American Pale Ale,14.33,,2018
180,5,1,American Pale Ale [BJCP 18B],40.5,1,2019
270,5,1,American Pale Ale [BJCP 18B],40,2,2019
298,5,1,American Pale Ale [BJCP 18B],39.5,3,2019
121,5,1,American Pale Ale [BJCP 18B],37,,2019
66,5,1,American Pale Ale [BJCP 18B],35.5,,2019
126,5,1,American Pale Ale [BJCP 18B],35,,2019
274,5,1,American Pale Ale [BJCP 18B],34.5,,2019
20,5,1,American Pale Ale [BJCP 18B],31.5,,2019
242,5,1,American Pale Ale [BJCP 18B],31.5,,2019
222,5,1,American Pale Ale [BJCP 18B],31,,2019
29,5,1,American Pale Ale [BJCP 18B],30,,2019
311,5,1,American Pale Ale [BJCP 18B],27.5,,2019
292,5,1,American Pale Ale [BJCP 18B],26,,2019
183,5,1,American Pale Ale [BJCP 18B],24.5,,2019
289,5,1,American Pale Ale [BJCP 18B],24,,2019
337,5,1,American Pale Ale [BJCP 18B],24,,2019
