Category,Category Name,2022 Category Name
1,Low Alcohol,Low Alcohol
2,Pale Lager,Pale Lager
3,Amber and Dark Lager,Amber and Dark Lager
4,Pale Ale,Pale Ale
5,American Pale Ale,American Pale Ale
6,Amber Ale / Bitter Ale,IPA
7,Brown Ale,Specialty IPA
8,Porter,Amber Ale / Bitter Ale
9,Stout,Brown Ale
10,Strong Stout,Porter
11,IPA,Stout
12,Specialty IPA,Strong Stout
13,Wheat and Rye Beer,Wheat and Rye Beer
14,Sour and Wild Ale,Belgian Ale
15,Belgian Ale,Strong Ales and Lagers
16,Strong Ales and Lagers,Sour and Wild Ale
17,Fruit and Spice Beer,Fruit and Spice Beer
18,Specialty Beer,Specialty Beer
19,Mead,Mead
20,Cider and Perry,Cider and Perry
